date|name|author|youtubeLink|country|
2025-04-08|AND YOU|MC몽|https://www.youtube.com/watch?v=kea0NQ4i36Q|K-POP|
2025-04-09|We Didn't Start The Fire|Fall Out Boy|https://www.youtube.com/watch?v=2LkVKCWL0U4|POP|
2025-04-10|Japanication|SPYAIR|https://www.youtube.com/watch?v=2ff8Rd5tdzA|J-POP|
2025-04-11|Vertigo|Lost Stars|https://www.youtube.com/watch?v=-mOuhMlOmd8|POP|
2025-04-12|Shut Up and Dance|WALK THE MOON|https://www.youtube.com/watch?v=fpSLPo-Kfwk|POP|
2025-04-13|Karma|AJR|https://www.youtube.com/watch?v=0q9Jj86x4Es|POP|
2025-04-14|왜|슈프림팀|https://www.youtube.com/watch?v=tGPPsWdH-XM|K-POP|
2025-04-15|Chase Love Hard|볼빨간사춘기|https://www.youtube.com/watch?v=IujPMo2ZvRk|K-POP|
2025-04-16|화;월|우예린|https://www.youtube.com/watch?v=L11FbRevWHE|K-POP|
2025-04-17|Letter To Myself|태연|https://youtu.be/OyBO0nLrrq0?si=HO01FZsldcQm3ncu|K-POP|
2025-04-18|Not The 1975|Knox|https://www.youtube.com/watch?v=gF0HEdinEC4|POP|
2025-04-19|LA Devotee|Panic! At The Disco|https://www.youtube.com/watch?v=YnIEm_O6bRQ|POP|
2025-04-20|Melancholy Kaleidoscope|All Time Low|https://www.youtube.com/watch?v=G-zOxk5FtwI|POP|
2025-04-21|Little Bit of Love|Tom Grennan|https://www.youtube.com/watch?v=zCO07Ke8zPo|POP|
2025-04-22|Drive It Like You Stole It|Sing Street|https://www.youtube.com/watch?v=fuWTcmjnEGY|POP|
2025-04-23|청춘만화|이무진|https://www.youtube.com/watch?v=_xFQKWlYv3k|K-POP|
2025-04-24|Weapon|Against The Current|https://www.youtube.com/watch?v=AkpD3KFvVhw|POP|
2025-04-25|권태중독|MC몽|https://www.youtube.com/watch?v=lJ9ej_ly40I|K-POP|
2025-04-26|Queen of Hearts|We The Kings|https://www.youtube.com/watch?v=xslDxzRnDJg|POP|
2025-04-27|Why Worry|Set If Off|https://www.youtube.com/watch?v=6F1285_yKjo|POP|
2025-04-28|Old Scars / Future Hearts|All Time Low|https://www.youtube.com/watch?v=xnoJ_0lk_5w|POP|
2025-04-29|Ride|twenty one pilots|https://www.youtube.com/watch?v=Pw-0pbY9JeU|POP|
2025-04-30|Stack It Up|Liam Payne|https://www.youtube.com/watch?v=PZcGH02j8ds|POP|
2025-05-01|One Foot|WALK THE MOON|https://www.youtube.com/watch?v=YZUnKMgznm0|POP|
2025-05-02|Goodbye To Romance|써니힐|https://www.youtube.com/watch?v=Whzc02JmOek|K-POP|
2025-05-03|Night Like This|New Rules|https://www.youtube.com/watch?v=F_wTXmOEHog|POP|
2025-05-04|Check Yes Juliet|We The Kings|https://www.youtube.com/watch?v=5CUyWJ7UINM|POP|
2025-05-05|These Days|Rudimental|https://www.youtube.com/watch?v=iozTSikOwkU|POP|
2025-05-06|Kiss You|One Direction|https://www.youtube.com/watch?v=XAXE3JANcsU|POP|
2025-05-07|A Sky Full of Stars|ColdPlay|https://www.youtube.com/watch?v=9RvZ1jyjwFA|POP|
2025-05-08|춥다|에픽하이|https://www.youtube.com/watch?v=CyFrK4tL-SM|K-POP|
2025-05-09|Get Down On Your Knees And Tell Me You Love Me|All Time Low|https://www.youtube.com/watch?v=yzrH-QSRSZ4|POP|
2025-05-10|Impulse|ALiA|https://www.youtube.com/watch?v=Qb98LD-fxko|J-POP|
2025-05-11|Kiss Me More|Doja Cat|https://www.youtube.com/watch?v=1oMgxa32A7g|POP|
2025-05-12|Nothing At All|A Rocket To The Moon|https://www.youtube.com/watch?v=mlzRfYZUSr8|POP|
2025-05-13|Last Friday Night|Katy Parry|https://www.youtube.com/watch?v=cEin6Kix6xs|POP|
2025-05-14|Last Moment|SPYAIR|https://www.youtube.com/watch?v=UOfNZfG6SS4|J-POP|